threshold,tp,fp,fn,tn,benign_fp,benign_total,benign_fpr,precision,recall,f1,specificity,balanced_accuracy,mcc
0.0,700,4300,0,0,3000,3000,1.0,0.14,1.0,0.245614,0.0,0.5,0.0
0.5,169,281,531,4019,190,3000,0.063333,0.375556,0.241429,0.293913,0.934651,0.58804,0.213492
0.9,169,281,531,4019,190,3000,0.063333,0.375556,0.241429,0.293913,0.934651,0.58804,0.213492
0.95,169,281,531,4019,190,3000,0.063333,0.375556,0.241429,0.293913,0.934651,0.58804,0.213492
0.99,169,281,531,4019,190,3000,0.063333,0.375556,0.241429,0.293913,0.934651,0.58804,0.213492
1.0,169,281,531,4019,190,3000,0.063333,0.375556,0.241429,0.293913,0.934651,0.58804,0.213492
