variant,threshold,ddos_f1,ddos_precision,ddos_recall,ddos_fpr_non_ddos,benign_fpr,scan_fpr_non_scan,score_99_9
V2,0.0,0.08668813582331816,0.04530789645242752,1.0,1.0,1.0,0.0,0.9953634738922119
V2,0.01,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.02,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.03,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.04,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.05,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.06,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.07,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.08,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.09,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.1,0.003991982698630308,0.0021678897064613977,0.025172370301858236,0.549863602286314,0.5715496247167524,0.0,0.9953634738922119
V2,0.11,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.12,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.13,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.14,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.15,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
