population,stage,head,feature,mean_abs_SHAP_log_odds,mean_signed_SHAP_log_odds,n
CICIDS_benign_DDoS_FP,base,PORT_SCAN,mask:flow.pps,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,mask:flow.iat_s_mean,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,mask:flow.iat_s_min,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,mask:flow.iat_s_max,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,mask:flow.psh_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,mask:flow.urg_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,mask:flow.rst_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_0,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_1,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_2,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_3,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_4,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_5,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_6,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_7,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_8,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_9,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_10,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_11,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_12,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_13,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_14,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_15,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_16,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_17,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_18,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_19,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_20,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_21,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_22,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_23,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_24,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_25,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_26,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_27,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_28,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_29,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_30,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,latent_31,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,energy,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,ae_error,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,iforest,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,PORT_SCAN,prototype_distance,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.packet_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.duration_s,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.pps,0.12624356150627136,-0.12624356150627136,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.iat_s_mean,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.iat_s_min,0.0006157960742712021,0.0006157960742712021,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.iat_s_max,0.00931751262396574,-0.00931751262396574,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.psh_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.urg_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,flow.rst_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.packet_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.duration_s,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.pps,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.iat_s_mean,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.iat_s_min,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.iat_s_max,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.psh_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.urg_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,mask:flow.rst_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_0,0.009560526348650455,-0.009427305310964584,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_1,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_2,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_3,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_4,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_5,0.12648457288742065,-0.1258554756641388,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_6,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_7,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_8,1.8341426849365234,-1.7355073690414429,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_9,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_10,0.8589333295822144,-0.6572479009628296,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_11,0.015064869076013565,-0.014858067035675049,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_12,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_13,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_14,0.9921948909759521,-0.8291468620300293,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_15,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_16,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_17,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_18,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_19,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_20,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_21,0.0017102467827498913,0.0017102467827498913,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_22,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_23,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_24,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_25,0.06563109159469604,-0.06525298953056335,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_26,1.3630650043487549,-1.1859803199768066,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_27,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_28,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_29,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_30,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,latent_31,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,energy,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,ae_error,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,iforest,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DATA_EXFILTRATION,prototype_distance,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,base_DDoS,4.878103256225586,4.878103256225586,512
CICIDS_benign_DDoS_FP,meta,DDoS,base_PORT_SCAN,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,base_DATA_EXFILTRATION,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,present_DDoS,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,present_PORT_SCAN,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,present_DATA_EXFILTRATION,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,visibility,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,history_count,0.6309060454368591,-0.5419989824295044,512
CICIDS_benign_DDoS_FP,meta,DDoS,history_duration_ms,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,window_complete,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,baseline_mature,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,drift,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,queue_age,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,score_entropy,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,score_margin,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,score_disagreement,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,energy,0.26831749081611633,0.2660577595233917,512
CICIDS_benign_DDoS_FP,meta,DDoS,ae_error,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,iforest,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DDoS,prototype_distance,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,base_DDoS,0.0,0.0,512
